Address,BaseAddress,BaseSymbol,BaseDecimals,QuotedAddress,QuotedSymbol,QuotedDecimals,Tick,Fee Tier
0xb79f8af49b04c797da9e5c9a3a2bec81c7ae98a8,0x8ae340d333ffb274969f505a6520b91024bc856c,KOI,9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,,10000
0x77d7b918c3f6b1b1172fe8447e99db6389241865,0x9c4a4204b79dd291d6b6571c5be8bbcd0622f050,TCR,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,-298153,10000
0x5d795980d1704239037003c62248d2fb327f4243,0x2f3afd7373f6dd960afd083fb2f0ac2303285ef7,JAM[eth],8,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,-121387,3000
0x61a9f44f04ebfc80a2e85ae6b5d06972e2ec1b57,0x30f266748380de12045978cf651718a71d612403,DMDHRT20,18,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,18,-94073,500
0xb7e614fa75add747dcbc4fd47625d4eef3f0a1e8,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,18,0xf8b8f6a01e676d592d95d8d356e445d53a5822f2,DHDAO,18,60636,500
0x378458e4f5eb77f13585f054e392cfb28a6ea980,0x083d41d6dd21ee938f0c055ca4fb12268df0efac,GOL,4,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,23089,100
0x0c49d7d8e9366d48eda30522d2815c32341dfe80,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,18,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,LRC,18,86564,10000
0x781611bc613745dda4ebc5ee49a08e4cfb60ecd6,0x9d38f670d15c14716be1f109a4f453e966a2b6d4,QUID,9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,-887272,3000
0xf6e21e21cb48e1ab575c58d526110f736cd33066,0x34f0915a5f15a66eba86f6a58be1a471fb7836a7,PLSD,12,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,76200,3000
0x66cb6f04c4ca81a57ca934b9259571d2a0148f28,0xa7065567f6d52a1b4b7451093a1fa066f0925b29,AAPE,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,,10000
0xddcd1dc23f04afb23612cb76fd00c3d3b1304c63,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xf173e505864be1133ebed5896231ef570e677fe3,N7,18,-138206,3000
0x3688ec45e6c03e78954f96a17d3dc4d7c4794ca4,0x95b3497bbcccc46a8f45f5cf54b0878b39f8d96c,UNIDX,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-66200,10000
0xed57febff795a9655f2ac9cc5cd18063556841c0,0x2b867efd2de4ad2b583ca0cb3df9c4040ef4d329,LBlock,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,69000,10000
0xff5003548ff41d8f921eaa9a92dbdf833e586d5b,0x92c3ad91d44de139db36f0c1afdda81b9c643886,LCOINS,2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,,100
0x6595d07956cd31c9a0facc0a755757955322cd05,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xe5b826ca2ca02f09c1725e9bd98d9a8874c30532,ZEON,18,-131201,10000
0x2123bc884f56c514f314bdbb9ad7312b2485f743,0x2b867efd2de4ad2b583ca0cb3df9c4040ef4d329,LBlock,9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,-887272,10000
0x9efd3ce9d953455160005713519e1d6d64971ef6,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,LUSD,18,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,LQTY,18,1400,10000
0x0bab2c180d26ed08a0fbf056f54e13847c9bdd5f,0x5d436c2ad5af1b0c4e79e19b7ebdef0f6bea0eea,PINKB,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-176192,3000
0xe3c3246c82fd68f37723986b39fb587d9f521204,0x07a129520f4675a7de30b2226535f0a2f8fe90e7,G333,18,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,LRC,18,-74645,10000
0x5b39448658e9f7c3f2d0c5ffafc70683ae224c18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xe9ca43dd089b67e7947b6b6a1e029f2112b9eb40,ATL,18,98956,3000
0xd295565d416c4a73a044e0f212435fcac39614da,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc0d4ceb216b3ba9c3701b291766fdcba977cec3a,BTRFLY,9,32837,3000
0x98587748163e1c44a80d0488dd8f2c94c8d8d15a,0x53fd2342b43ecd24aef1535bc3797f509616ce8c,ANARCHY,9,0xc2c3b2bcd4c2f1dde8e23c1bf8f6475fd00749c9,HAVOC,18,,10000
0x9aac7680910f540294f1850fc4da18513f5d0c6c,0x9b9d1229c81827773ad6c78c2d18cf163026b1dc,DEP,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,,10000
0x2486ba2ead03d63ba1b67859bc460341191e3da6,0x8d5bd29164b8b1626d9ace38942a717f650bda0f,WIS,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,,10000
0xfc916bd9fec9c9d9c1eebbfd89ec73e612a6350c,0x2415d1426d07904b6c25d9b83cb2471248b9d73d,FIE,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,,10000
0x7e670a1d1a1d21343893568d81b31df07160201e,0x74557776a72e4350f1c8f6f37ecc925d23e5f7a5,NIR,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,,10000
0xcfc389e23728f72558eee13d04b326ddcdd88be3,0x514910771af9ca656af840dff83e8264ecf986ca,LINK,18,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,MATIC,18,887271,10000
0x2cfe80fc2c944b568e6864b23ca74ba9650e217c,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc4f6e93aeddc11dc22268488465babcaf09399ac,HI,18,,10000
0xc7e2e1c614824c9194cbc44d67faab40d8b8fc55,0xb525339098d3164c4c16cdb35668ff5096df6420,EEB,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,,10000
0xadec34126bd0f4a2ef97160606ed4e8d6adfbbe3,0xa4eed63db85311e22df4473f87ccfc3dadcfa3e3,RBC,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,,3000
0xeddc8dd87cb3d174f0ff26c094cd8d3341063de0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xbeef3bb9da340ebdf0f5bae2e85368140d7d85d0,MORE,18,-887272,3000
0x8a2c4da6480f50ee017a5dce7b21cecef54f97db,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xbeef3bb9da340ebdf0f5bae2e85368140d7d85d0,MORE,18,287315,10000
0xaaa0d3d2a163a72c483d5098070ee245ec9c9fd9,0x25bf6b01a686ae7b2425110f5b7188034211440b,🦑,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-176480,3000
0x907a87a7fae300edb09ddbfe35ad70eeb9cf047a,0xc5bddf9843308380375a611c18b50fb9341f502a,yveCRV-DAO,18,0xd533a949740bb3306d119cc777fa900ba034cd52,CRV,18,-107,10000
0x0cf449897ab1fef7cf2a7c224562628232f5de09,0x0b452278223d3954f4ac050949d7998e373e7e43,SUZUME,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-209478,10000
0x9f47b30e4952ce6e3af36da7dcc68f9c5539d085,0x920e8bffcb0d528c4e27e360e6149adf59902ac1,NFMT,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,75858,10000
0x11886971af09bc9a3d20e8d0ec3e9af7ee7a214d,0x0000000000071566c1cf5db929f8e2e2f5d57da8,UOU,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-113347,100
0x84781ba5dc72d7482cb22851374c8a45f6254b73,0x054540231ee72f93dd966e882aa0c63c5f70c01b,GOEMON,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-176801,10000
0xfc17b4eadc81799ed5ab37b5402ac57b0e6e8879,0x839e71613f9aa06e5701cf6de63e303616b0dde3,VVS,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,,3000
0xa08d8ddf045f583e2cb3ef2ea99900ed60897d0b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc7555f6410e983c867748879b2f6d2b0b0e100fd,SDAX,5,-139394,10000
0xfc90388ed4906c8fe3f585fad034fb595094cee7,0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,GALA,8,0xc7555f6410e983c867748879b2f6d2b0b0e100fd,SDAX,5,-42200,10000
0x53899a61e1b5ecb961f1f8744f20856807e80d2a,0x321c2fe4446c7c963dc41dd58879af648838f98d,CTX,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,-262600,10000
0xc506ca6089648d3fc22deb5cfabb8f01f39d4eaf,0x17e6ba2519b4d15199b6529db340910ae031b1b0,oneGIV,18,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,18,-36,500
0x223a3d7a5f39c3367b223f70d230c5fc5230e320,0x4946fcea7c692606e8908002e55a582af44ac121,FOAM,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-887272,10000
0x1fb401336a226a957a9bc244f9522e46d09169a3,0xbe1f8b3493570501cb32bc87ae3150f4e1a9f0e4,GP,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-197178,10000
0x8e81ed6bc3d36528dbafea634c8520f0ed6e5072,0xc0d4ceb216b3ba9c3701b291766fdcba977cec3a,BTRFLY,9,0xc55126051b22ebb829d00368f4b12bde432de5da,BTRFLY,18,189920,10000
0x3e6e23198679419cd73bb6376518dcc5168c8260,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc55126051b22ebb829d00368f4b12bde432de5da,BTRFLY,18,23052,10000
0x1e2a07d51c7305a790e62666571f793cca25e8a7,0x3b960e47784150f5a63777201ee2b15253d713e8,Crabv2,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,-204534,3000
0x553fdf6694206b6a7907a6586c2c7489d0585feb,0x9805aa6674390bc2be44621c4ef82a2567ef1a1a,OCD,18,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,-887272,3000
0xe6942eb2907470afa627ea89bd7d065b27d2f512,0x888888435fde8e7d4c54cab67f206e4199454c60,DFX,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,,3000
0xc28aeb6d3b16fd5c85beeb78010d9ba42148d5e2,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,0xf0b692ace03ffb689628e68d4919f91723d1c5a2,SED,18,,10000
0x5fe137274f2b7306280af753e0fa6a7028b61886,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xe910c2a090516fb7a7be07f96a464785f2d5dc18,CMT,18,146160,3000
0x716b64f33e47d7c7bd873dbe7eebb62469303951,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xe910c2a090516fb7a7be07f96a464785f2d5dc18,CMT,18,887271,3000
0xb06abbe96b347d1a8bbc17672b08c48509a009e4,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,0xf0b692ace03ffb689628e68d4919f91723d1c5a2,SED,18,352721,500
0x37de3f70c8f39a2633678420da68629331645c9f,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,RAI,18,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,LUSD,18,10250,100
0x327cbcb91a54d981bf51b531a0c07b62616bc3d1,0x0d86eb9f43c57f6ff3bc9e23d8f9d82503f0e84b,MAXI,8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,-70560,3000
0xf68e51e095496ed932b4707530e1a2e2ffeb75b7,0x1c4853ec0d55e420002c5efabc7ed8e0ba7a4121,Okinami,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-887272,10000
